country_code,subnational1_code,subnational2_code,subnational2_name
CA,CA-ON,CA-ON-GR,Grey
CA,CA-NS,CA-NS-GU,Guysborough
CA,CA-ON,CA-ON-HD,Haldimand
CA,CA-ON,CA-ON-HB,Haliburton
CA,CA-NS,CA-NS-HL,Halifax
CA,CA-ON,CA-ON-HT,Halton
CA,CA-ON,CA-ON-HA,Hamilton
CA,CA-AB,CA-AB-FO,Hanna
CA,CA-NS,CA-NS-HN,Hants
CA,CA-ON,CA-ON-HS,Hastings
CA,CA-NL,CA-NL-FI,Humber District-Corner Brook
CA,CA-ON,CA-ON-HU,Huron
CA,CA-NT,CA-NT-IN,Inuvik
CA,CA-NS,CA-NS-IN,Inverness
CA,CA-QC,CA-QC-JAM,Jamésie
CA,CA-QC,CA-QC-JO,Joliette
CA,CA-QC,CA-QC-KA,Kamouraska
CA,CA-QC,CA-QC-NQ,Kativik
CA,CA-ON,CA-ON-VI,Kawartha Lakes
CA,CA-NU,CA-NU-KV,Keewatin
CA,CA-ON,CA-ON-KR,Kenora
CA,CA-NB,CA-NB-KE,Kent
CA,CA-SK,CA-SK-TN,Kindersley
CA,CA-NB,CA-NB-KI,Kings
CA,CA-NS,CA-NS-KI,Kings
CA,CA-PE,CA-PE-KI,Kings
CA,CA-NU,CA-NU-KT,Kitikmeot
CA,CA-BC,CA-BC-KS,Kitimat-Stikine
CA,CA-BC,CA-BC-KB,Kootenay Boundary
CA,CA-QC,CA-QC-AN,L'Assomption
CA,CA-QC,CA-QC-IS,L'Islet
CA,CA-QC,CA-QC-ER,L'Érable
CA,CA-QC,CA-QC-IO,L'Île-d'Orléans
CA,CA-QC,CA-QC-CB,La Côte-de-Beaupré
CA,CA-QC,CA-QC-CG,La Côte-de-Gaspé
CA,CA-QC,CA-QC-HC,La Haute-Côte-Nord
CA,CA-QC,CA-QC-DR,La Haute-Gaspésie
CA,CA-QC,CA-QC-HY,La Haute-Yamaska
CA,CA-QC,CA-QC-JC,La Jacques-Cartier
CA,CA-QC,CA-QC-MT,La Matanie
